width,length,type,region,model,height-min,height-max,stories,shape,library,tags

# Great Britain France 
Ireland and Netherlands
5.00,23.00,residential,GB;IE,objects/houses/EU/GB/RES_5.00x23.00_UK_2.obj,,,,SQ,W2XP

4.50,13.00,residential,GB;IE,objects/houses/EU/GB/RES_4.5x13.0_UK_1.obj,,,,SQ,W2XP
4.50,13.00,residential,GB;IE,objects/houses/EU/GB/RES_4.5x13.0_UK_2.obj,,,,SQ,W2XP
4.50,14.00,residential,GB;IE,objects/houses/EU/GB/RES_4.5x14.0_UK_1.obj,,,,SQ,W2XP
4.50,14.00,residential,GB;IE,objects/houses/EU/GB/RES_4.5x14.0_UK_2.obj,,,,SQ,W2XP

7.0,6.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,6.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x6.0_UK_2.obj,,,2,SQ,W2XP,Black
7.0,6.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_7.0x6.0_UK_3.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_6.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_6.0x7.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_6.0x7.0_UK_3.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x7.75_UK_2.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x7.75_UK_3.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_5.0x7.75_UK_4.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_8.0x8.0_UK_1.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_8.0x8.0_UK_2.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_8.0x8.0_UK_3.obj,,,2,SQ,W2XP,Black

6.0,13.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x13.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,14.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x14.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,15.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x15.0_UK_1.obj,,,2,SQ,W2XP,Black

6.0,13.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x13.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,14.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x14.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,15.0,residential,GB;IE,objects/houses/EU/GB/RES_6.0x15.0_UK_2.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,GB;IE;FR;NL,objects/houses/EU/GB/RES_8.00x6.00_UK_1.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x6.00_UK_2.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x6.00_UK_3.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x6.00_UK_4.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x5.00_UK_1.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x5.00_UK_2.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,GB;IE,objects/houses/EU/GB/RES_8.00x5.00_UK_3.obj,,,2,SQ,W2XP,Black


9.0,8.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_9.00x8.00_UK_1.obj,,,2,SQ,W2XP,Black
11.0,9.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_11.00x9.00_UK_1.obj,,,2,SQ,W2XP,Black
14.0,7.0,residential,GB;IE;NL;FR,objects/houses/EU/GB/RES_14.00x7.00_UK_1.obj,,,2,SQ,W2XP,Black


7.55,7.88,residential,GB;IE,objects/houses/EU/GB/R_7.55x7.88_UK_1.obj,,,,SQ,W2XP
7.55,7.88,residential,GB;IE,objects/houses/EU/GB/R_7.55x7.88_UK_2.obj,,,,SQ,W2XP
7.65,10.4,residential,GB;IE,objects/houses/EU/GB/R_7.65x10.4_UK_1.obj,,,,SQ,W2XP
17.00,12.00,residential,GB;IE,objects/houses/EU/GB/RES_17.0x12.0_UK_1.obj,,,2,SQ,W2XP,Black
17.00,12.00,residential,GB;IE,objects/houses/EU/GB/RES_17.0x12.0_UK_2.obj,,,2,SQ,W2XP,Black
12.34,9.50,residential,GB;IE,objects/houses/EU/GB/RES_12.34x9.50_UK_1.obj,,,2,SQ,W2XP,Black
12.34,9.50,residential,GB;IE,objects/houses/EU/GB/RES_12.34x9.50_UK_2.obj,,,2,SQ,W2XP,Black
13.5,12.5,residential,GB;IE,objects/houses/EU/GB/RES_13.5x12.5_UK_1.obj,,,2,SQ,W2XP,Black
13.5,12.5,residential,GB;IE,objects/houses/EU/GB/RES_13.5x12.5_UK_2.obj,,,2,SQ,W2XP,Black
12.0,11.0,residential,GB;IE,objects/houses/EU/GB/RES_12.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black
12.0,11.0,residential,GB;IE,objects/houses/EU/GB/RES_12.00x11.00_UK_2.obj,,,2,SQ,W2XP,Black
17.0,13.6,residential,GB;IE,objects/houses/EU/GB/RES_17.00x13.60_UK_1.obj,,,2,SQ,W2XP,Black
14.0,13.0,residential,GB;IE,objects/houses/EU/GB/RES_14.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
18.0,11.2,residential,GB;IE,objects/houses/EU/GB/RES_18.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
16.9,9.49,residential,GB;IE,objects/houses/EU/GB/RES_16.9x9.49_UK_1.obj,,,2,SQ,W2XP,Black
16.9,9.49,residential,GB;IE,objects/houses/EU/GB/RES_16.9x9.49_UK_2.obj,,,2,SQ,W2XP,Black
